Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Estados pequeos del Caribe,CSS,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,CYM,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,CYP,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0.2,0,0,0,0,
República Checa,CZE,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0.1,,,,,,0,,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,
Alemania,DEU,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0,0.2,0.2,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0.1,0.2,0.2,,,,
Djibouti,DJI,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,,,,,17.7,19.8,,,,16.5,,,,,,,
Dominica,DMA,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinamarca,DNK,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,0,,,,,0,,,0.3,0.3,0.2,0.1,0.1,0.2,0.3,0,0,0,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.3,
